group	t1	t2	winner	date
D	FLY	TES	2	10-03	
D	UOL	DRX	2	10-03	
B	RGE	PSG	1	10-03	
B	DWG	JDG	1	10-03	
C	GEN	LGD	1	10-03	
C	TSM	FNC	2	10-03	
A	MCX	TL	1	10-04	
A	G2	SN	1	10-04	
B	RGE	DWG	2	10-04	
B	PSG	JDG	2	10-04	
C	GEN	TSM	1	10-04	
C	LGD	FNC	1	10-04	
A	MCX	G2	2	10-05	
A	TL	SN	2	10-05	
B	DWG	PSG	1	10-05	
B	JDG	RGE	1	10-05	
D	FLY	UOL	1	10-05	
D	TES	DRX	1	10-05	
A	G2	TL	TBD	10-06	
A	SN	MCX	TBD	10-06	
D	DRX	FLY	TBD	10-06	
D	TES	UOL	TBD	10-06	
C	FNC	GEN	TBD	10-06	
C	TSM	LGD	TBD	10-06	
A	TL	G2	TBD	10-08	
A	MCX	SN	TBD	10-08	
A	G2	MCX	TBD	10-08	
A	SN	TL	TBD	10-08	
A	TL	MCX	TBD	10-08	
A	SN	G2	TBD	10-08	
B	PSG	DWG	TBD	10-09	
B	RGE	JDG	TBD	10-09	
B	DWG	RGE	TBD	10-09	
B	JDG	PSG	TBD	10-09	
B	PSG	RGE	TBD	10-09	
B	JDG	DWG	TBD	10-09	
C	FNC	TSM	TBD	10-10	
C	LGD	GEN	TBD	10-10	
C	TSM	GEN	TBD	10-10	
C	FNC	LGD	TBD	10-10	
C	LGD	TSM	TBD	10-10	
C	GEN	FNC	TBD	10-10	
D	FLY	DRX	TBD	10-11	
D	UOL	TES	TBD	10-11	
D	DRX	UOL	TBD	10-11	
D	TES	FLY	TBD	10-11	
D	UOL	FLY	TBD	10-11	
D	DRX	TES	TBD	10-11	
